repository,stars,language,license,tier,file,bytes,lines,headings,code_blocks,build_commands,test_commands,code_style,architecture,prohibitions,emphatic,pr_conventions,security,dir_map,file_refs,agent_addressed,examples
huggingface/transformers,163224,Python,apache-2.0,full,CLAUDE.md,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huggingface/transformers,163224,Python,apache-2.0,full,.github/copilot-instructions.md,3529,40,5,0,0,1,1,1,1,0,0,0,0,0,1,0
firecrawl/firecrawl,158988,TypeScript,agpl-3.0,full,AGENTS.md,1464,19,0,0,0,1,0,0,1,0,0,1,0,0,1,0
firecrawl/firecrawl,158988,TypeScript,agpl-3.0,full,CLAUDE.md,1668,21,0,0,0,1,0,0,1,0,0,1,0,0,1,0
langflow-ai/langflow,152713,Python,mit,full,AGENTS.md,11312,238,26,10,1,1,0,1,1,1,1,0,1,0,0,0
langflow-ai/langflow,152713,Python,mit,full,CLAUDE.md,427,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
langgenius/dify,150994,TypeScript,,metadata,AGENTS.md,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
langgenius/dify,150994,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
langchain-ai/langchain,143169,Python,mit,full,AGENTS.md,18831,365,34,9,1,1,1,1,1,1,1,1,1,0,1,1
langchain-ai/langchain,143169,Python,mit,full,CLAUDE.md,18831,365,34,9,1,1,1,1,1,1,1,1,1,0,1,1
yangshun/tech-interview-handbook,141467,TypeScript,mit,full,AGENTS.md,4153,77,10,0,1,1,0,0,1,0,0,0,0,0,1,1
vercel/next.js,141218,JavaScript,mit,full,AGENTS.md,25280,513,56,14,1,1,1,1,1,0,1,1,1,0,1,1
vercel/next.js,141218,JavaScript,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/PowerToys,137348,C,mit,full,AGENTS.md,6816,173,25,0,1,0,1,1,1,0,0,0,0,1,0,0
microsoft/PowerToys,137348,C,mit,full,.github/copilot-instructions.md,1380,42,7,0,0,0,1,0,0,0,0,0,0,1,0,0
ripienaar/free-for-dev,130970,HTML,,metadata,AGENTS.md,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ripienaar/free-for-dev,130970,HTML,,metadata,CLAUDE.md,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
excalidraw/excalidraw,128778,TypeScript,mit,full,CLAUDE.md,1295,35,6,1,1,1,0,1,0,0,0,0,0,0,0,0
excalidraw/excalidraw,128778,TypeScript,mit,full,.github/copilot-instructions.md,1638,46,8,0,0,1,1,0,0,0,0,0,0,0,0,1
Chalarangelo/30-seconds-of-code,128566,JavaScript,cc-by-4.0,full,.github/copilot-instructions.md,6846,51,2,0,0,0,0,0,1,0,0,0,0,0,1,1
garrytan/gstack,125699,TypeScript,mit,full,AGENTS.md,7725,138,12,1,1,1,1,0,0,0,0,0,0,1,0,0
garrytan/gstack,125699,TypeScript,mit,full,CLAUDE.md,59275,1024,35,6,1,1,1,1,1,1,1,1,1,0,1,1
github/spec-kit,124890,Python,mit,full,AGENTS.md,30810,603,54,21,1,1,1,1,1,0,1,0,1,0,1,1
kubernetes/kubernetes,124100,Go,apache-2.0,full,AGENTS.md,1370,37,6,1,0,1,1,0,1,0,0,0,0,0,0,0
Comfy-Org/ComfyUI,123116,Python,gpl-3.0,full,AGENTS.md,22617,356,10,0,0,0,1,1,1,0,1,0,0,0,0,1
ggml-org/llama.cpp,122319,C++,mit,full,AGENTS.md,11806,249,11,7,0,0,0,0,1,1,1,1,0,1,1,1
ggml-org/llama.cpp,122319,C++,mit,full,CLAUDE.md,106,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
electron/electron,122283,C++,mit,full,CLAUDE.md,9910,285,34,9,1,0,1,1,1,0,1,0,1,0,0,0
electron/electron,122283,C++,mit,full,.github/copilot-instructions.md,4715,123,17,5,1,1,1,1,1,0,0,0,0,0,0,1
rustdesk/rustdesk,119375,Rust,agpl-3.0,full,AGENTS.md,4836,99,13,0,0,0,0,1,1,0,0,0,0,0,0,1
rustdesk/rustdesk,119375,Rust,agpl-3.0,full,CLAUDE.md,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rustdesk/rustdesk,119375,Rust,agpl-3.0,full,GEMINI.md,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/generative-ai-for-beginners,114055,Jupyter Notebook,mit,full,AGENTS.md,12287,323,57,7,1,0,1,1,1,0,1,1,0,1,0,1
nextlevelbuilder/ui-ux-pro-max-skill,112359,Python,mit,full,CLAUDE.md,5562,119,7,4,0,0,0,1,1,0,1,0,1,0,0,1
microsoft/TypeScript,110028,TypeScript,apache-2.0,full,AGENTS.md,1997,31,3,0,0,0,0,0,1,1,0,0,0,1,1,1
microsoft/TypeScript,110028,TypeScript,apache-2.0,full,CLAUDE.md,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/TypeScript,110028,TypeScript,apache-2.0,full,.github/copilot-instructions.md,12225,372,45,21,1,0,1,1,1,1,0,0,0,0,1,1
axios/axios,109164,JavaScript,mit,full,AGENTS.md,9197,114,15,0,1,1,1,1,1,0,0,1,0,0,1,0
axios/axios,109164,JavaScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
axios/axios,109164,JavaScript,mit,full,.github/copilot-instructions.md,4730,60,10,0,1,0,1,1,1,0,0,1,0,1,1,0
fatedier/frp,108493,Go,apache-2.0,full,AGENTS.md,1063,40,9,0,1,1,0,0,0,0,0,0,0,0,0,0
fatedier/frp,108493,Go,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denoland/deno,107887,Rust,mit,full,CLAUDE.md,11866,434,63,16,1,1,1,1,1,0,1,0,0,0,0,1
denoland/deno,107887,Rust,mit,full,.github/copilot-instructions.md,12567,353,48,5,1,1,1,1,1,0,1,0,0,0,1,0
browser-use/browser-use,107501,Python,mit,full,AGENTS.md,38310,1022,106,35,1,0,1,1,1,1,1,1,0,1,1,1
browser-use/browser-use,107501,Python,mit,full,CLAUDE.md,11149,164,16,2,1,1,1,1,1,1,0,0,0,0,1,1
supabase/supabase,107366,TypeScript,apache-2.0,full,.github/copilot-instructions.md,3687,62,8,0,0,0,1,0,1,0,0,0,0,0,1,0
google-gemini/gemini-cli,106289,TypeScript,apache-2.0,full,GEMINI.md,4610,97,7,0,1,1,1,1,0,0,0,1,0,0,1,0
openai/codex,103090,Rust,apache-2.0,full,AGENTS.md,22519,323,28,0,1,1,1,0,1,0,0,0,0,0,1,1
pytorch/pytorch,102106,Python,bsd-2-clause,full,AGENTS.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pytorch/pytorch,102106,Python,bsd-2-clause,full,CLAUDE.md,14189,320,23,5,1,0,1,0,1,1,1,1,0,0,1,1
pytorch/pytorch,102106,Python,bsd-2-clause,full,.github/copilot-instructions.md,4726,126,17,5,1,0,1,1,1,0,1,0,0,0,0,1
neovim/neovim,101438,Vim Script,gpl-2.0,full,AGENTS.md,189,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
angular/angular,100617,TypeScript,mit,full,AGENTS.md,1594,35,4,0,0,0,0,0,1,1,0,0,0,1,0,0
Graphify-Labs/graphify,100126,Python,apache-2.0,full,AGENTS.md,411,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ant-design/ant-design,98892,TypeScript,mit,full,AGENTS.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant-design/ant-design,98892,TypeScript,mit,full,CLAUDE.md,13817,292,30,2,0,0,0,0,0,0,1,0,1,0,0,1
ant-design/ant-design,98892,TypeScript,mit,full,.github/copilot-instructions.md,9593,190,19,1,1,1,1,0,1,0,0,0,0,1,0,1
mui/material-ui,98657,JavaScript,mit,full,AGENTS.md,8855,242,24,14,1,1,1,1,1,0,1,0,1,1,0,1
mui/material-ui,98657,JavaScript,mit,full,CLAUDE.md,174,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
microsoft/Web-Dev-For-Beginners,96089,JavaScript,mit,full,AGENTS.md,11847,402,59,12,1,0,1,1,1,0,1,1,0,1,0,0
oven-sh/bun,95136,Rust,,metadata,AGENTS.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
oven-sh/bun,95136,Rust,,metadata,CLAUDE.md,644,20,20,0,1,0,0,1,1,0,1,0,0,0,0,0
JuliusBrussee/caveman,95059,JavaScript,mit,full,AGENTS.md,131,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JuliusBrussee/caveman,95059,JavaScript,mit,full,CLAUDE.md,24512,307,23,2,0,0,0,1,1,0,1,0,1,0,0,0
JuliusBrussee/caveman,95059,JavaScript,mit,full,GEMINI.md,131,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
iluwatar/java-design-patterns,94506,Java,mit,full,AGENTS.md,3588,52,8,0,0,0,0,1,1,0,0,0,0,0,0,0
nvm-sh/nvm,94310,Shell,mit,full,AGENTS.md,17433,448,85,15,1,1,1,1,1,0,1,0,1,0,0,1
nvm-sh/nvm,94310,Shell,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/playwright,93795,TypeScript,apache-2.0,full,CLAUDE.md,7109,154,17,4,1,1,1,0,1,1,1,0,0,1,0,0
microsoft/playwright,93795,TypeScript,apache-2.0,full,.github/copilot-instructions.md,635,11,1,0,0,0,0,0,1,1,1,0,0,0,0,0
DietrichGebert/ponytail,93415,JavaScript,mit,full,AGENTS.md,2593,33,1,0,0,0,0,0,1,0,0,0,0,0,1,1
DietrichGebert/ponytail,93415,JavaScript,mit,full,.github/copilot-instructions.md,2495,31,1,0,0,0,0,0,1,0,0,0,0,0,1,1
storybookjs/storybook,90740,TypeScript,mit,full,AGENTS.md,21076,366,32,7,1,1,1,1,1,1,0,1,1,0,1,1
storybookjs/storybook,90740,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
storybookjs/storybook,90740,TypeScript,mit,full,.cursorrules,1763,51,8,0,0,1,0,1,0,0,0,0,0,0,1,0
louislam/uptime-kuma,89694,JavaScript,mit,full,AGENTS.md,2321,50,6,0,0,0,0,0,1,0,0,0,0,0,1,0
louislam/uptime-kuma,89694,JavaScript,mit,full,CLAUDE.md,2321,50,6,0,0,0,0,0,1,0,0,0,0,0,1,0
louislam/uptime-kuma,89694,JavaScript,mit,full,.github/copilot-instructions.md,6447,179,20,2,1,1,1,1,1,0,0,1,1,0,0,0
home-assistant/core,89617,Python,apache-2.0,full,AGENTS.md,5308,56,8,0,1,1,0,0,1,1,1,0,0,1,0,1
home-assistant/core,89617,Python,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home-assistant/core,89617,Python,apache-2.0,full,.github/copilot-instructions.md,11672,193,15,1,1,1,0,0,1,1,1,0,0,1,1,1
gohugoio/hugo,89268,Go,apache-2.0,full,AGENTS.md,1678,23,0,0,0,0,0,0,1,0,0,0,0,1,0,1
gohugoio/hugo,89268,Go,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
thedotmack/claude-mem,89243,JavaScript,apache-2.0,full,CLAUDE.md,1045,34,6,1,1,0,0,0,0,0,0,0,0,0,0,0
thedotmack/claude-mem,89243,JavaScript,apache-2.0,full,.github/copilot-instructions.md,217,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
modelcontextprotocol/servers,89119,TypeScript,apache-2.0,full,CLAUDE.md,4155,105,18,3,1,1,1,1,0,0,0,0,0,1,0,0
microsoft/ML-For-Beginners,88840,Jupyter Notebook,mit,full,AGENTS.md,10760,332,56,9,1,0,1,1,1,0,1,1,1,1,1,0
Stirling-Tools/Stirling-PDF,88520,Java,mit,full,AGENTS.md,27801,512,40,7,1,1,1,1,1,1,0,1,0,1,1,1
Stirling-Tools/Stirling-PDF,88520,Java,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django/django,88252,Python,bsd-3-clause,full,.github/copilot-instructions.md,316,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
astral-sh/uv,88207,Rust,apache-2.0,full,AGENTS.md,1495,22,0,0,0,0,0,0,1,1,0,0,0,0,0,1
astral-sh/uv,88207,Rust,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ruvnet/RuView,88017,Rust,mit,full,CLAUDE.md,9827,240,20,8,1,1,0,1,1,0,0,1,0,0,0,1
vllm-project/vllm,87870,Python,apache-2.0,full,AGENTS.md,5654,158,25,6,1,1,1,0,1,0,1,0,0,1,1,0
vllm-project/vllm,87870,Python,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zed-industries/zed,87870,Rust,,metadata,AGENTS.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
zed-industries/zed,87870,Rust,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
zed-industries/zed,87870,Rust,,metadata,GEMINI.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sveltejs/svelte,87716,JavaScript,mit,full,AGENTS.md,590,12,2,0,0,0,0,0,1,0,0,0,0,1,0,0
infiniflow/ragflow,86565,Go,apache-2.0,full,AGENTS.md,8259,134,14,4,1,1,0,1,1,0,0,0,0,0,0,1
infiniflow/ragflow,86565,Go,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infiniflow/ragflow,86565,Go,apache-2.0,full,.github/copilot-instructions.md,558,23,4,0,0,1,1,1,0,0,0,0,0,0,0,0
localsend/localsend,86520,Dart,apache-2.0,full,AGENTS.md,11205,136,13,4,1,1,0,1,1,0,0,0,0,0,0,1
localsend/localsend,86520,Dart,apache-2.0,full,CLAUDE.md,270,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0
realworld-apps/realworld,83966,TypeScript,mit,full,CLAUDE.md,2748,70,7,3,1,0,1,0,1,0,0,0,0,0,1,0
nexu-io/open-design,83003,TypeScript,apache-2.0,full,AGENTS.md,38307,373,35,4,1,1,1,0,1,0,1,1,0,1,0,1
nexu-io/open-design,83003,TypeScript,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OpenHands/OpenHands,82779,TypeScript,mit,full,AGENTS.md,106575,621,29,10,0,1,0,1,1,1,1,1,0,0,1,1
vitejs/vite,82162,TypeScript,mit,full,.github/copilot-instructions.md,1632,51,9,0,0,1,1,1,0,0,1,0,0,1,0,0
earendil-works/pi,81872,TypeScript,mit,full,AGENTS.md,10731,163,11,1,1,1,1,0,1,0,1,1,0,0,1,0
addyosmani/agent-skills,81223,JavaScript,mit,full,AGENTS.md,5386,93,10,0,0,0,0,1,1,0,0,0,0,1,1,1
addyosmani/agent-skills,81223,JavaScript,mit,full,CLAUDE.md,4094,61,8,1,0,1,1,1,1,0,0,0,0,1,0,1
lobehub/lobehub,81042,TypeScript,,metadata,AGENTS.md,412,16,16,0,1,0,1,1,0,0,1,0,0,0,0,0
lobehub/lobehub,81042,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
lobehub/lobehub,81042,TypeScript,,metadata,GEMINI.md,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jesseduffield/lazygit,80927,Go,mit,full,AGENTS.md,22712,455,22,6,1,1,1,1,1,0,1,0,0,0,1,1
jesseduffield/lazygit,80927,Go,mit,full,CLAUDE.md,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenCut-app/OpenCut,80317,TypeScript,mit,full,.github/copilot-instructions.md,16765,345,14,1,0,0,1,0,1,0,0,0,0,0,0,1
netdata/netdata,79972,Go,gpl-3.0,full,AGENTS.md,60413,1018,38,7,1,1,1,0,1,1,1,1,0,0,1,1
netdata/netdata,79972,Go,gpl-3.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netdata/netdata,79972,Go,gpl-3.0,full,GEMINI.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedance/deer-flow,78617,Python,mit,full,AGENTS.md,9384,154,9,3,0,1,1,1,0,0,0,0,1,1,0,0
bytedance/deer-flow,78617,Python,mit,full,CLAUDE.md,184,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
bytedance/deer-flow,78617,Python,mit,full,.github/copilot-instructions.md,6936,214,15,7,1,1,1,1,1,0,0,1,0,0,0,0
koala73/worldmonitor,77721,TypeScript,agpl-3.0,full,AGENTS.md,15314,250,23,4,0,1,1,1,1,0,0,1,1,1,1,1
elastic/elasticsearch,77631,Java,,metadata,AGENTS.md,736,28,28,0,1,0,1,1,0,0,0,0,0,0,0,0
elastic/elasticsearch,77631,Java,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
dair-ai/Prompt-Engineering-Guide,77180,MDX,mit,full,CLAUDE.md,629,15,5,0,0,0,0,1,1,0,1,0,0,0,0,0
Egonex-AI/Understand-Anything,77021,TypeScript,mit,full,CLAUDE.md,6844,103,13,1,0,1,1,1,1,0,0,1,0,0,0,1
grafana/grafana,75910,TypeScript,agpl-3.0,full,AGENTS.md,9637,170,25,5,1,1,1,1,1,0,0,0,0,0,0,0
grafana/grafana,75910,TypeScript,agpl-3.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tesseract-ocr/tesseract,75671,C++,apache-2.0,full,.github/copilot-instructions.md,11509,364,48,15,1,0,1,1,1,1,0,0,1,0,0,0
paperclipai/paperclip,75331,TypeScript,mit,full,AGENTS.md,9702,227,19,8,1,1,0,0,1,0,1,0,0,1,1,1
openai/openai-cookbook,75051,Jupyter Notebook,mit,full,AGENTS.md,5964,51,9,0,1,1,1,1,1,0,1,0,0,0,0,1
caddyserver/caddy,74550,Go,apache-2.0,full,AGENTS.md,8091,230,17,7,1,1,1,1,1,0,0,0,0,1,1,0
rtk-ai/rtk,74258,Rust,apache-2.0,full,CLAUDE.md,7715,172,16,10,1,1,0,1,1,1,1,1,0,1,0,1
rtk-ai/rtk,74258,Rust,apache-2.0,full,.github/copilot-instructions.md,3459,67,7,4,1,1,1,1,0,0,1,0,0,1,0,1
thedaviddias/Front-End-Checklist,73378,MDX,,metadata,AGENTS.md,423,17,17,0,1,0,0,1,0,0,0,0,0,0,0,0
thedaviddias/Front-End-Checklist,73378,MDX,,metadata,CLAUDE.md,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/ai-agents-for-beginners,70899,Jupyter Notebook,mit,full,AGENTS.md,10767,312,37,1,1,0,1,1,1,0,1,1,1,1,0,0
code-yeongyu/oh-my-openagent,66988,TypeScript,,metadata,AGENTS.md,890,25,25,0,1,0,1,1,0,1,1,0,0,0,0,0
code-yeongyu/oh-my-openagent,66988,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ruvnet/ruflo,66754,TypeScript,mit,full,AGENTS.md,24566,708,89,35,1,0,0,0,1,1,0,1,1,0,1,1
ruvnet/ruflo,66754,TypeScript,mit,full,CLAUDE.md,66757,1494,167,42,1,0,0,1,1,1,0,1,1,1,1,1
shanraisshan/claude-code-best-practice,63852,HTML,mit,full,CLAUDE.md,7809,127,17,1,0,0,0,1,1,0,1,0,0,0,0,1
mem0ai/mem0,62262,Python,apache-2.0,full,AGENTS.md,29112,593,72,13,1,1,1,1,1,0,1,1,1,0,0,0
mem0ai/mem0,62262,Python,apache-2.0,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crewAIInc/crewAI,56467,Python,mit,full,AGENTS.md,1024,27,3,0,0,0,0,0,1,0,0,0,0,0,0,0
aaif-goose/goose,52062,Rust,apache-2.0,full,AGENTS.md,4372,115,21,8,1,1,1,1,1,0,0,0,1,0,0,1
aaif-goose/goose,52062,Rust,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aaif-goose/goose,52062,Rust,apache-2.0,full,.github/copilot-instructions.md,4637,102,13,1,0,1,0,1,1,0,0,1,0,0,1,0
HKUDS/nanobot,46499,Python,mit,full,AGENTS.md,5314,87,15,1,1,1,1,1,0,0,0,0,0,1,0,0
HKUDS/nanobot,46499,Python,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rohitg00/ai-engineering-from-scratch,45405,Python,mit,full,AGENTS.md,8645,219,30,6,0,0,0,1,1,0,1,1,1,0,1,0
sickn33/agentic-awesome-skills,44266,Python,mit,full,AGENTS.md,6766,55,10,0,1,1,1,1,1,0,1,1,0,0,0,0
agno-agi/agno,41532,Python,apache-2.0,full,AGENTS.md,6233,242,28,10,1,1,0,1,1,0,1,0,1,0,1,0
agno-agi/agno,41532,Python,apache-2.0,full,CLAUDE.md,7145,258,29,10,1,1,0,1,1,0,1,0,1,0,1,0
agno-agi/agno,41532,Python,apache-2.0,full,.cursorrules,4446,187,3,9,0,0,0,0,1,1,0,0,0,0,1,0
langchain-ai/langgraph,38630,Python,mit,full,AGENTS.md,1866,58,3,2,0,1,0,0,1,0,0,0,1,0,1,0
langchain-ai/langgraph,38630,Python,mit,full,CLAUDE.md,1863,58,3,2,0,1,0,0,1,0,0,0,1,0,1,0
wshobson/agents,38421,Python,mit,full,AGENTS.md,5382,77,8,2,0,1,0,0,1,0,0,1,0,1,0,0
wshobson/agents,38421,Python,mit,full,CLAUDE.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wshobson/agents,38421,Python,mit,full,GEMINI.md,2030,53,8,3,1,0,0,0,0,0,0,0,0,1,0,0
Yeachan-Heo/oh-my-claudecode,38238,TypeScript,mit,full,AGENTS.md,21842,412,4,1,1,0,0,0,1,0,0,0,0,0,1,1
Yeachan-Heo/oh-my-claudecode,38238,TypeScript,mit,full,CLAUDE.md,7416,119,2,1,1,0,0,0,1,0,0,0,0,0,1,1
diegosouzapw/OmniRoute,36828,TypeScript,mit,full,AGENTS.md,37005,601,62,4,1,1,1,1,1,1,1,1,0,1,0,1
diegosouzapw/OmniRoute,36828,TypeScript,mit,full,CLAUDE.md,46651,565,40,8,1,1,1,0,1,1,1,1,0,1,1,1
diegosouzapw/OmniRoute,36828,TypeScript,mit,full,GEMINI.md,8281,51,5,0,1,1,0,1,1,1,0,1,0,0,0,0
diegosouzapw/OmniRoute,36828,TypeScript,mit,full,.github/copilot-instructions.md,981,16,1,0,0,1,0,0,1,0,1,0,0,0,0,0
stablyai/orca,35064,TypeScript,mit,full,AGENTS.md,4664,61,14,0,0,0,1,0,1,1,1,0,0,1,0,1
stablyai/orca,35064,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HKUDS/DeepTutor,31775,Python,apache-2.0,full,AGENTS.md,7164,139,14,3,1,0,0,1,0,0,0,0,1,0,0,0
JCodesMore/ai-website-cloner-template,30770,TypeScript,mit,full,AGENTS.md,3038,66,9,1,0,0,1,1,0,1,0,0,1,1,1,0
